"impresso","enviadomotorista","clienteconfirma","ctes","criado_em","resolvida","telefone","TICKET _D","data_ticket","status","assunto"
false,false,false,18172803031202,2026-05-06 13:41:42.377,true,0,5088052,2026-04-07 00:00:00.000,Resolvido,Acareação
false,false,false,18015952044235,2026-04-15 13:26:14.047,true,0,4841107,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18172803058244,2026-05-07 11:38:56.370,true,0,5101822,2026-04-08 00:00:00.000,Resolvido,Acareação
false,false,false,18015952207385,2026-04-15 13:26:13.395,true,0,4841211,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015952061977,2026-04-15 13:26:13.502,true,0,4841219,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951776428,2026-04-15 13:26:13.567,true,0,4841246,2026-03-20 11:22:33.596,Resolvido,Acareação
false,false,false,18168202696474,2026-04-09 10:46:26.150,false,5571983414218,,2026-04-09 13:46:26.154,,
false,false,false,10085065221554,2026-04-09 10:47:16.860,false,5571987976301,,2026-04-09 13:47:16.864,,
false,false,false,18215000147986,2026-04-09 15:04:49.526,false,5571996301210,,2026-04-09 18:04:49.528,,
false,false,false,18109908039596,2026-04-24 14:36:04.134,true,0,4961493,2026-03-20 08:03:58.033,Resolvido,Contestação de acareação
false,false,false,18015952930620,2026-05-07 11:38:56.430,true,0,5101977,2026-04-08 00:00:00.000,Resolvido,Acareação
false,false,false,18191001608477,2026-05-07 11:38:56.513,true,0,5104378,2026-04-08 00:00:00.000,Resolvido,Contestação de acareação
false,false,false,10082862054755,2026-05-05 13:54:26.454,true,0,5081070,2026-04-06 00:00:00.000,Resolvido,Acareação
false,false,false,18015953293720,2026-04-23 07:55:09.098,false,5571993045201,,2026-04-23 10:55:09.101,,
false,false,false,18015951579755,2026-04-15 13:26:13.621,true,0,4841256,2026-03-20 11:22:33.573,Resolvido,Acareação
false,false,false,18015951930210,2026-04-15 13:26:14.148,true,0,4841122,2026-03-20 11:22:33.381,Resolvido,Acareação
false,false,false,18015952028625,2026-04-15 13:26:14.193,true,0,4841165,2026-03-20 11:22:33.356,Resolvido,Acareação
false,false,false,18015952064892,2026-04-15 13:26:14.252,true,0,4841186,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18136301253566,2026-05-05 13:54:27.453,true,0,5082373,2026-04-06 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18015952314301,2026-04-14 13:15:22.316,true,0,4830527,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18131100250113,2026-04-14 13:15:22.509,true,0,4834525,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18126801796813,2026-04-30 13:34:39.103,true,0,5032304,2026-04-01 00:00:00.000,Resolvido,Acareação
false,false,false,18015952322488,2026-04-30 13:34:39.235,true,0,5038896,2026-04-01 00:00:00.000,Resolvido,Acareação
false,false,false,18248700009236,2026-04-30 13:34:39.287,true,0,5044770,2026-04-02 00:00:00.000,Resolvido,Acareação
false,false,false,18198401113927,2026-04-11 09:16:21.029,true,0,4811747,2026-03-20 08:03:58.033,Resolvido,Comprovante de entrega
false,false,false,18015951402040,2026-04-15 13:26:13.668,true,0,4841261,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951579491,2026-04-15 13:26:13.743,true,0,4841268,2026-03-20 11:22:33.528,Resolvido,Acareação
false,false,false,18162501250092,2026-04-15 13:26:12.314,true,0,4840895,2026-03-20 11:22:33.763,Resolvido,Acareação
false,false,false,18015951501455,2026-04-15 13:26:13.034,true,0,4841115,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015952036775,2026-04-15 13:26:13.162,true,0,4841163,2026-03-20 11:22:33.724,Resolvido,Acareação
false,false,false,18015951393491,2026-04-15 13:26:13.818,true,0,4841272,2026-03-20 11:22:33.504,Resolvido,Acareação
false,false,false,18191001689426,2026-04-23 19:09:53.487,false,5571987164224,,2026-04-23 22:09:53.490,,
false,false,false,18109908195305,2026-04-15 13:26:15.276,true,0,4848955,2026-03-17 00:00:00.000,Resolvido,Acareação
false,false,false,18015952328471,2026-04-15 13:26:15.349,true,0,4853026,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18137801965391,2026-05-12 11:18:20.749,true,0,5146769,2026-04-13 00:00:00.000,Resolvido,Acareação
false,false,false,18121604427678,2026-04-22 14:40:57.328,true,0,4929050,2026-03-20 11:22:32.913,Resolvido,Acareação
false,false,false,10081185165564,2026-05-05 13:54:26.162,true,0,5079028,2026-04-06 00:00:00.000,Resolvido,Acareação
false,false,false,18256500027112,2026-05-08 15:17:52.339,true,0,5122439,2026-04-09 00:00:00.000,Resolvido,Acareação
false,false,false,18121604506933,2026-05-12 11:18:20.802,true,0,5148848,2026-04-13 00:00:00.000,Resolvido,Acareação
false,false,false,18168202708783,2026-04-30 09:20:38.897,false,5571988607620,,2026-04-30 12:20:38.899,,
false,false,false,18015952810778,2026-04-29 14:40:16.612,true,0,5019492,2026-03-31 00:00:00.000,Resolvido,Acareação
false,false,false,10089969281703,2026-04-30 14:01:54.428,false,5571988827767,,2026-04-30 17:01:54.431,,
false,false,false,18126801789980,2026-04-25 11:01:42.966,true,0,4981128,2026-03-27 00:00:00.000,Resolvido,Acareação
false,false,false,18168202660176,2026-04-25 11:01:43.016,true,0,4982462,2026-03-27 00:00:00.000,Resolvido,Acareação
false,false,false,18121604460407,2026-04-22 14:40:57.371,true,0,4936013,2026-03-24 00:00:00.000,Resolvido,Acareação
false,false,false,10083701295336,2026-05-27 11:25:11.723,true,0,5300492,2026-04-20 00:00:00.000,Resolvido,Contestação de acareação
false,false,false,18168202688927,2026-04-30 13:34:39.040,true,0,5029504,2026-04-01 00:00:00.000,Resolvido,Acareação
false,false,false,18121604492098,2026-04-29 14:40:16.669,true,0,5021028,2026-03-31 00:00:00.000,Resolvido,Acareação
false,false,false,18015952644117,2026-05-05 13:54:26.302,true,0,5080280,2026-04-06 00:00:00.000,Resolvido,Acareação
false,false,false,18159608300815,2026-04-29 14:40:16.766,true,0,5026019,2026-03-31 00:00:00.000,Resolvido,Acareação
false,false,false,18015951861203,2026-04-15 13:26:14.314,true,0,4841193,2026-03-20 11:22:33.311,Resolvido,Acareação
false,false,false,18015951975813,2026-04-15 13:26:14.359,true,0,4841200,2026-03-20 11:22:33.285,Resolvido,Acareação
false,false,false,18249200198423,2026-05-14 11:05:03.454,true,0,5173518,2026-04-15 00:00:00.000,Resolvido,Acareação
false,false,false,18015951929982,2026-04-15 13:26:14.407,true,0,4841224,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951542842,2026-04-15 13:26:14.456,true,0,4841239,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951327868,2026-04-15 13:26:14.513,true,0,4841250,2026-03-20 11:22:32.722,Resolvido,Acareação
false,false,false,18015951403455,2026-04-15 13:26:14.557,true,0,4841254,2026-03-17 00:00:00.000,Resolvido,Acareação
false,false,false,18015951844700,2026-04-15 13:26:14.618,true,0,4841257,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015951495863,2026-04-15 13:26:14.678,true,0,4841259,2026-03-20 11:22:33.116,Resolvido,Acareação
false,false,false,18015951336313,2026-04-15 13:26:14.732,true,0,4841271,2026-03-20 11:22:33.048,Resolvido,Acareação
false,false,false,18015951780185,2026-04-15 13:26:14.778,true,0,4841276,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18015952122442,2026-04-15 13:26:14.866,true,0,4841779,2026-03-17 00:00:00.000,Resolvido,Acareação
false,false,false,18242900272088,2026-04-15 13:26:15.034,true,0,4842777,2026-03-20 08:03:58.033,Resolvido,Acareação
false,false,false,18226200248033,2026-04-15 13:26:15.102,true,0,4845248,2026-03-20 11:22:32.982,Resolvido,Acareação
false,false,false,18191001632233,2026-05-05 13:54:25.218,true,0,5070398,2026-04-06 00:00:00.000,Resolvido,Acareação
false,false,false,18249200194908,2026-05-14 11:05:03.963,true,0,5179093,2026-04-15 00:00:00.000,Resolvido,Acareação
false,false,false,18251600001685,2026-04-28 12:31:40.387,true,0,5003665,2026-03-30 00:00:00.000,Resolvido,Acareação
false,false,false,18172803067778,2026-05-06 15:16:19.384,false,5571992918058,,2026-05-06 18:16:19.386,,
false,false,false,18142600234859,2026-04-24 14:36:03.759,true,0,4954680,2026-03-26 00:00:00.000,Resolvido,Acareação
false,false,false,18167700774454,2026-04-24 14:36:03.965,true,0,4954970,2026-03-26 00:00:00.000,Resolvido,Acareação
false,false,false,18171600689120,2026-04-24 14:36:04.048,true,0,4955938,2026-03-26 00:00:00.000,Resolvido,Acareação
false,false,false,18249300022760,2026-04-23 17:28:12.695,true,0,4948700,2026-03-25 00:00:00.000,Resolvido,Acareação
false,false,false,18249200203860,2026-05-14 11:05:03.746,true,0,5174682,2026-04-15 00:00:00.000,Resolvido,Acareação
